sampleid	PC1	PC2	PC3	PC4
transE.High_S47_L005	-7.693183828589709	92.74522075594629	38.47531973971307	-4.558506350171854e-13
transE.Low_S45_L005	85.76341491557046	-53.27580258719077	31.9558947904413	-1.3201592596878697e-13
transE.Medium_S46_L005	-93.66721578774894	-53.98131025257541	12.319994790495425	2.8530303120000156e-13
transE.Pre_S48_L005	15.59698470076815	14.511892083819832	-82.75120932064983	3.166165246648589e-13
