"transE-High_S47_L005"	"transE-Low_S45_L005"	"transE-Medium_S46_L005"	"transE-Pre_S48_L005"
"ADAD1"	124.265286020228	130.37770269454	69.865099754792	127.155923725271
"ADAL"	251.557420415849	205.114161871049	211.394854864121	248.72662627465
"ADAM10"	12.6338019146856	18.2897935568917	3.46679093480218	16.8974204103147
"ADAM11"	37.4078978567643	40.5395791132571	67.2451585139873	60.6719457685797
"ADAM12"	41.6191651616595	80.6764471757203	45.2006024171154	62.6281907489685
"ADAM18"	98.9647816650371	89.9723605982139	38.3993408121982	64.7545439885215
"ADAM19"	1.38182208441874	0	2.14358828793112	4.8480853861809
"ADAM2"	0.822513145487343	0	0	0
"ADAM20"	67.6434810848791	97.2547187667377	40.2253604648803	58.9141604238826
"ADAM21"	14.4762313605772	5.23524366032128	4.18132036411255	1.6160284620603
"ADAM28"	69.1240047467563	71.0113819566656	30.0102360310357	70.2263596583047
"ADAM29"	11.6138856142813	21.9813115225028	16.9105298270122	22.6527498453716
"ADAM7"	387.633995205275	500.200684340312	185.380690826636	476.076314647659
"ADAM8"	47.5741603349879	39.7005977574364	36.6791773712658	35.0706527643613
"ADAM9"	0	0	0	0.0283513765273737
"ADAMDEC1"	223.822277150016	194.308082008078	181.119978303711	210.026997314784
"ADAMTS1"	0	9.39659118519205	4.47242494642419	5.21665328103676
"ADAMTS10"	0	0	0.502817005811003	0
"ADAMTS14"	0	0	0	1.55932570900555
"ADAMTS15"	43.0009872460783	51.4463367389265	27.2579745255439	38.4444665711187
"ADAMTS16"	4.44157098563165	14.6318348455133	16.6723533505754	8.53376433473949
"ADAMTS17"	45.1724219501649	109.50384656172	79.7626555533876	71.842388120365
"ADAMTS18"	16.7134671163028	7.75218772778344	8.12446425178832	14.8277699238164
"ADAMTS2"	58.6945380619768	43.2914379603491	46.3385566934246	30.2509187547077
"ADAMTS20"	39.5135315092119	26.2433368100721	43.7450795055573	50.1535850769241
"ADAMTS3"	0	0.872540610053547	0	0
"ADAMTS4"	30.2026827022952	38.9287349100813	16.7782095623251	29.9390536129066
"ADAMTS6"	231.784204398333	130.042110152211	194.88128583117	183.943730909601
"ADAMTS7"	144.992617286509	163.970516181601	56.3948968096446	112.214748295345
"ADAMTS8"	364.472025028351	303.845487824031	294.306732717061	282.975089119717
"ADAMTSL2"	114.822835110033	125.108899779986	127.450878946621	256.636660325787
"ADAMTSL4"	117.652280330509	148.734614759897	151.003886060925	168.548933455237
"ADAMTSL5"	25.925614345761	13.1552276592689	29.6662033428492	10.6317661977651
"ADAP1"	4.11256572743671	17.1823381672083	0.714529429310373	8.8456294765406
"ADAP2"	0.0658010516389874	0	0	0
"ADAR"	0	30.4046843349428	5.68977138154556	9.97968453763555
"ADARB1"	26.7810280170679	36.243994571455	20.0068240206904	42.0167400135678
"ADARB2"	76.1318167463084	114.873327238973	150.474605002177	121.542351172851
"ADAT1"	93.5690954306401	130.075669406444	123.190166423696	152.785568106017
"ADCK1"	0	4.79897335529451	1.2438104880588	0
"ADCK2"	5.82339307005039	0	1.85248370561949	6.18060008296747
"ADCK3"	3.52035626268583	0	3.20215040542797	1.36086607331394
"ADCK4"	38.6581178379051	38.6267016219859	59.5970472150726	64.8112467415763
"ADCK5"	57.575920184114	68.393760126505	80.1860804003863	78.3348533451336
"ADCY1"	381.119691093015	375.762969644983	557.676987550277	391.135590571648
"ADCY10"	1.28312050696025	5.40303993148543	0	2.06965048649828
"ADCY3"	37.5065994342228	43.9626230450056	29.4809549722872	35.4108692826898
"ADCY4"	0	0	0	6.66257348393282
"ADCY5"	0.164502629097469	0	0.0793921588122637	0.0283513765273737
"ADCY6"	0	0	1.32320264687106	1.87119085080666
"ADCY8"	321.767142514648	216.188715767883	387.513127162659	309.993950950304
"ADCY9"	274.521987437855	298.442447892546	412.627513400272	278.552274381447
"ADCYAP1R1"	61.0304753951608	54.7351436537437	90.3482767283561	52.7052089643877
"ADD1"	0	0	0.820385641060058	0
"ADGRA1"	14.1801266282018	3.79219572830965	24.2940005965527	4.79138263312616
"ADGRA2"	13.9827234732848	16.1755605402235	11.8823597689021	14.3174451463237
"ADGRA3"	3.68485889178329	22.4175818275296	12.7292094628996	4.62127437396191
"ADGRB2"	83.8963408397089	110.275709409075	131.023526093172	71.7573339907829
"ADGRB3"	12.9628071728805	8.02066176164607	16.3283206623889	5.61357255241999
"ADGRD1"	10.9229745720719	0	1.95833991736917	10.4616579386009
"ADGRE3"	5.42858676021646	0	0.185248370561949	6.32235696560434
"ADGRE5"	32.8018242420352	28.8609586402327	40.8869617883158	39.4934675026316
"ADGRF1"	0.329005258194937	60.6751316529544	19.9538959148156	20.0160718283258
"ADGRF2"	113.408112499795	389.287349100813	154.55006915454	216.491111163026
"ADGRF3"	26.6823264396094	30.3375658264772	52.584073186656	41.5631179891299
"ADGRF5"	132.819422733296	109.705202087117	124.778009599941	137.022202756797
"ADGRG1"	49.2520871517821	67.7561342960812	93.9473879278453	79.4122056531738
"ADGRG2"	50.5681081845618	37.2843314526727	36.441000894829	61.2673246756546
"ADGRG3"	19.5429123367793	13.9270905066239	8.6008172046619	10.5183606916556
"ADGRG4"	112.486897776849	89.4018532762558	77.6455313183939	109.634773031354
"ADGRG5"	70.8348320893699	28.8609586402327	38.0817721769491	63.7338944335361
"ADGRG7"	309.791351116353	326.229510397328	240.081888248285	345.23471197383
"ADGRL2"	5.69179096677241	6.61117308386726	7.11883024016631	2.77843489968262
"ADGRL3"	1.25021998114076	14.6653940997462	4.97524195223519	1.7294339681698
"ADGRV1"	0.954115248765317	0	0	0.878892672348585
"ADH1A"	20.727331266281	23.7263927426099	7.56871914010247	13.0416332025919
"ADH1B"	1.44762313605772	3.02033288095459	2.54054908199244	0.0283513765273737
"ADH1C"	103.373452124849	118.363489679187	118.479565000835	94.3533810830997
"ADH6"	0	3.35592542328287	0	1.36086607331394
"ADH7"	8.25803198069292	5.90642874497786	13.4702029451474	15.7633653492198
"ADHFE1"	221.552140868471	201.422643905438	337.019714158059	187.742815364269
