"transE_high_s47"	"transE_low_s45"	"transE_medium_s46"	"transE_pre_s48"
"CHCHD1"	484	398	329	478
"CHCHD10"	1555	445	2175	1341
"CHCHD2"	0	65	0	0
"CHCHD6"	2035	4525	1518	3357
"CHCHD7"	170	428	150	181
"CHD1"	0	0	0	120
"CHD1L"	1520	772	3257	2158
"CHD2"	350	1066	437	460
"CHD3"	30	77	67	0
"CHD6"	35	39	50	161
"CHD7"	4724	2826	4132	4811
"CHD9"	1077	904	924	1275
"CHDH"	428	542	540	688
"CHEK2"	2527	3755	2397	2668
"CHGA"	4894	5744	6973	7688
"CHI3L1"	4587	3977	5243	4890
"CHI3L2"	4939	3549	2718	3629
"CHIC2"	32	1	0	0
"CHIT1"	0	0	100	0
"CHKA"	993	1755	1864	927
"CHL1"	74	0	24	71
"CHM"	769	634	572	465
"CHML"	3307	3338	1907	2518
"CHMP1A"	0	44	47	0
"CHMP2B"	1668	2012	552	1363
"CHMP4A"	49	0	0	0
"CHMP4B"	79	51	107	154
"CHMP4C"	733	323	1276	560
"CHMP7"	5134	3146	6254	6200
"CHN1"	20028	17152	22165	22964
"CHODL"	433	1204	350	471
"CHP1"	9868	2838	7486	4210
"CHPF"	1912	1096	1677	1270
"CHPT1"	27	70	0	108
"CHRAC1"	110	90	127	131
"CHRD"	3372	2368	2683	3458
"CHRDL1"	2574	3153	2804	2597
"CHRDL2"	1739	888	1426	1326
"CHRFAM7A"	2849	2894	5360	3080
"CHRM1"	0	0	43	83
"CHRM2"	679	391	560	864
"CHRM3"	40	0	62	0
"CHRM4"	7009	4060	8488	8094
"CHRM5"	1159	1408	1118	1994
"CHRNA1"	672	2344	1059	1410
"CHRNA10"	222	762	1517	670
"CHRNA2"	4416	4288	5504	5064
"CHRNA3"	0	0	102	0
"CHRNA4"	1368	1453	3191	1507
"CHRNA5"	169	473	294	144
"CHRNA7"	0	51	147	61
"CHRNA9"	75	1030	403	890
"CHRNB1"	722	1340	969	755
"CHRNB2"	7137	6586	18990	7888
"CHRNB3"	534	689	303	938
"CHRNB4"	0	80	0	0
"CHRNE"	2290	3716	2941	2288
"CHRNG"	3674	3091	2129	2888
"CHST1"	0	0	19	286
"CHST10"	342	0	162	0
"CHST11"	2439	1351	2575	3075
"CHST12"	7251	7075	10911	9755
"CHST13"	734	1842	1572	1225
"CHST14"	1052	6417	8173	3131
"CHST15"	7162	4124	7145	5867
"CHST2"	17	0	12	0
"CHST3"	29	3	104	28
"CHST5"	3557	3247	8102	3237
"CHST6"	811	331	2732	891
"CHST7"	265	297	160	205
"CHST8"	353	227	617	576
"CHST9"	0	0	4	0
"CHSY1"	1545	1573	2420	1606
"CHSY3"	4216	3567	5318	5449
"CHTOP"	0	44	25	144
"CHUK"	2147	2110	2308	1784
"CHURC1-FNTB"	222	972	367	495
"CIAO1"	739	868	753	744
"CIAPIN1"	512	77	498	395
"CIART"	4176	4083	5829	5452
"CIB1"	5959	5798	8138	9067
"CIB4"	1612	1174	1189	1504
"CIDEA"	0	90	256	65
"CIDEB"	3325	2223	4240	3453
"CIITA"	0	0	47	0
"CILP"	871	809	1407	1072
"CINP"	1	0	18	34
"CIRBP"	4952	3884	7118	4944
"CISD1"	478	392	333	511
"CISD2"	342	222	320	503
"CISD3"	323	671	231	549
"CISH"	0	0	8	0
"CITED1"	81	183	449	333
"CITED2"	203	47	293	154
"CITED4"	21	63	461	60
"CKAP2"	3852	3762	3864	4800
"CKAP2L"	16543	5940	6252	9218
"CKAP4"	959	971	771	997
"CKLF"	40	1071	569	525
"CKLF-CMTM1"	173	96	135	217
"CKM"	0	319	63	72
"CKMT1A"	0	0	61	0
"CKMT1B"	387	329	555	167
"CKS2"	2295	2482	1627	3444
"CLASP1"	172	369	297	179
"CLC"	2235	510	1004	1016
"CLCA1"	1006	671	592	1188
"CLCA2"	27748	26420	14269	34711
"CLCA4"	7511	5443	2220	8691
"CLCC1"	43	604	210	0
"CLCN1"	1403	1719	724	1126
"CLCN3"	1217	2519	436	2178
"CLCN5"	488	2779	2085	1483
"CLCN6"	102	391	199	76
"CLCNKA"	222	886	1643	770
"CLCNKB"	0	0	21	0
"CLDN1"	39	0	7	0
"CLDN10"	3731	8343	11882	6698
"CLDN11"	695	1152	1619	810
"CLDN12"	1087	2941	1589	2439
"CLDN16"	1717	3094	2408	2548
"CLDN17"	426	724	778	499
"CLDN2"	843	745	670	1475
"CLDN23"	181	578	150	106
"CLDN24"	35	105	82	237
"CLDN25"	0	0	62	45
"CLDN3"	3	0	141	0
"CLDN34"	532	109	603	386
"CLDN4"	292	680	486	325
"CLDN5"	48	0	145	137
"CLDN6"	190	0	257	261
"CLDN7"	0	0	96	62
"CLDN8"	283	779	1450	854
"CLDN9"	67	472	274	497
"CLDND2"	2834	4094	3954	4157
"CLEC10A"	3061	4664	6865	5270
"CLEC11A"	2124	2427	3343	2841
"CLEC12A"	2307	1046	989	2176
"CLEC12B"	8879	8844	9062	11570
"CLEC14A"	798	684	1018	823
"CLEC16A"	6891	5588	7623	7254
"CLEC17A"	3676	4018	4558	4935
"CLEC18A"	14	31	145	63
"CLEC18B"	1311	1169	928	1561
"CLEC1A"	176	109	105	185
"CLEC2A"	3583	5816	6810	5967
"CLEC2L"	954	787	2279	1176
"CLEC3A"	73	1583	1184	1125
"CLEC3B"	4238	5323	2905	5245
"CLEC4C"	1701	488	357	956
"CLEC4F"	2244	2074	2530	2254
"CLEC7A"	630	185	205	137
"CLEC9A"	129	151	136	221
"CLGN"	300	661	12	611
"CLHC1"	0	59	20	0
"CLIC4"	55	118	95	160
"CLIC6"	2353	2732	3132	2876
"CLINT1"	223	0	141	229
"CLIP1"	1182	1175	554	1357
"CLIP2"	1086	1043	1415	921
"CLIP3"	1910	1458	2605	2238
"CLIP4"	1524	1045	2458	1642
"CLK1"	137	1190	1262	798
"CLK2"	5895	7135	8834	5619
"CLK3"	14	58	793	345
"CLK4"	96	0	195	234
"CLLU1"	1835	949	1063	1618
"CLLU1OS"	969	736	350	984
"CLMN"	9074	9586	9006	11598
"CLMP"	239	275	177	608
"CLN3"	6344	4843	10050	5812
"CLN5"	46	30	52	114
"CLN6"	27	162	140	2
"CLN8"	1353	1673	2372	1716
"CLNK"	6688	5918	13956	9853
"CLOCK"	384	135	383	358
"CLPS"	5710	4849	9367	5498
"CLPSL2"	1629	1953	1813	1960
"CLPTM1"	1308	676	1820	1560
"CLPTM1L"	491	149	242	327
"CLRN2"	1176	1930	1949	1959
"CLRN3"	8	500	337	37
"CLSTN1"	3317	747	1329	1927
"CLSTN2"	1439	1827	2033	1819
"CLSTN3"	427	2606	3172	1519
"CLTA"	330	814	247	248
"CLTB"	426	850	1027	348
"CLUAP1"	5145	6868	2487	7174
"CLUH"	0	0	17	0
"CLUL1"	86	0	0	0
"CLVS2"	11	0	0	0
"CMA1"	510	423	219	444
"CMAS"	21	185	18	41
"CMBL"	39	0	0	0
"CMC1"	162	0	170	292
"CMC2"	357	226	340	769
"CMC4"	1049	730	1400	1546
"CMKLR1"	8083	3599	10028	7065
"CMPK2"	2829	2704	5896	3194
"CMTM1"	629	796	269	1571
"CMTM3"	1475	1512	715	1706
"CMTM5"	0	331	214	5
"CMTM6"	1060	1224	2410	1908
"CMTM7"	299	396	351	187
"CMTR2"	1802	1832	1070	2066
"CMYA5"	49	461	163	169
"CNBP"	1155	1693	1560	1806
"CNDP1"	14619	11563	14967	16207
"CNDP2"	21	189	533	298
"CNFN"	2954	3665	8340	5303
"CNGA1"	581	614	454	576
"CNGA2"	0	0	32	0
"CNGA4"	49	1003	239	291
"CNGB1"	415	415	290	349
"CNGB3"	0	80	43	67
"CNIH1"	6	2	0	12
"CNIH2"	450	417	496	467
"CNIH3"	445	296	405	514
"CNIH4"	356	803	347	482
"CNKSR2"	1497	1859	156	1807
"CNN1"	0	0	29	40
"CNN3"	586	139	629	529
"CNNM1"	5245	5487	11402	7100
"CNNM2"	3335	3827	9851	4302
"CNNM3"	3363	3006	4586	3922
"CNOT1"	5431	2345	6608	6862
"CNOT10"	269	259	10	343
"CNOT11"	3241	2390	5610	4640
"CNOT2"	1690	1414	652	1844
"CNOT3"	849	844	1812	1598
"CNOT6"	0	71	57	140
"CNOT6L"	1214	931	1519	882
"CNOT8"	0	12	0	0
"CNPPD1"	5891	6560	11853	8832
"CNPY1"	14067	18765	7161	20075
"CNPY2"	7421	6971	10724	9882
"CNPY3"	68	351	206	77
"CNRIP1"	1362	403	1632	862
"CNST"	1017	265	1570	631
"CNTFR"	799	1329	239	1236
"CNTLN"	0	0	0	1
"CNTN2"	1429	1153	2273	1971
"CNTN3"	4359	3508	2053	4586
"CNTN4"	2094	1908	2648	2291
"CNTN5"	1606	3521	2738	3435
"CNTN6"	3296	5875	4919	5800
"CNTNAP1"	294	250	911	357
"CNTNAP2"	515	734	204	969
"CNTNAP3"	0	70	90	228
"CNTNAP4"	107	282	102	220
"CNTNAP5"	7505	6933	10321	8790
"CNTRL"	0	0	80	68
"COA1"	326	298	72	363
"COA3"	262	455	351	253
"COA4"	441	361	278	557
"COA5"	133	0	141	99
"COBL"	281	118	90	282
"COBLL1"	390	1130	1418	1023
"COCH"	626	638	1069	502
"COG1"	9262	7983	12860	7901
"COG6"	39	186	107	285
"COG8"	30	41	79	71
"COIL"	7507	6122	9007	8400
"COL10A1"	39	0	18	0
"COL11A1"	1378	1205	1011	2838
"COL12A1"	1477	2316	1723	1534
"COL13A1"	13982	12950	13618	15221
"COL14A1"	3153	5205	6242	4862
"COL15A1"	32	0	44	0
"COL16A1"	22095	25330	37727	26618
"COL18A1"	200	49	252	129
"COL1A1"	4104	3653	1929	3606
"COL1A2"	577	615	339	1058
"COL20A1"	82	0	35	0
"COL21A1"	140	0	85	0
"COL22A1"	5096	4044	7872	6945
"COL23A1"	572	135	111	463
"COL24A1"	2610	6274	2902	4715
"COL26A1"	1917	1921	3987	2826
"COL3A1"	5163	7435	7858	6430
"COL4A1"	1765	2687	3105	2501
"COL4A2"	8350	9807	19273	11039
"COL4A3BP"	148	617	7	357
"COL4A5"	1130	765	401	1808
"COL5A1"	2029	1614	3440	1688
"COL5A3"	2312	1970	3872	2179
"COL6A1"	2962	2878	3408	3900
"COL6A2"	2993	2060	5009	3864
"COL6A5"	6384	7472	8521	7733
"COL6A6"	233	0	588	117
"COL7A1"	461	162	793	563
"COL8A1"	1400	1587	330	1466
"COL8A2"	240	1669	1345	846
"COL9A1"	1597	1648	1593	2335
"COL9A2"	777	12177	10672	6046
"COL9A3"	1262	659	1688	1292
"COLCA1"	511	817	531	654
"COLCA2"	206	497	173	308
"COLEC10"	1289	800	176	1172
"COLEC11"	1017	873	258	920
"COLEC12"	3726	6845	5067	6483
"COLGALT2"	370	580	929	447
"COLQ"	1310	1709	845	1887
"COMMD1"	19	0	43	66
"COMMD10"	421	1415	354	964
"COMMD3-BMI1"	200	338	34	313
"COMMD4"	98	172	81	193
"COMMD5"	20	1044	735	665
"COMMD6"	343	3986	1243	968
"COMMD7"	823	995	1463	727
"COMMD8"	0	0	23	0
"COMMD9"	2177	2261	2932	3569
"COMT"	1801	1507	1880	1038
"COMTD1"	232	2182	1208	1354
"COPA"	131	234	122	137
"COPB2"	30	0	0	0
"COPG1"	213	90	224	241
"COPRS"	34	0	0	0
"COPS3"	3039	1252	2110	2397
"COPS7B"	84	78	391	50
"COPZ2"	356	399	537	313
"COQ10A"	1441	1116	2675	2124
"COQ10B"	39	137	251	252
"COQ3"	1305	1969	976	1787
"COQ6"	608	657	287	1104
"COQ7"	1384	693	1525	911
"COQ9"	0	634	37	0
"CORIN"	645	754	567	742
"CORO1A"	4647	3546	6364	4821
"CORO1B"	6134	4421	9387	5232
"CORO1C"	75	315	994	319
"CORO2A"	73	48	254	348
"CORO2B"	3076	5723	4875	4789
"CORO6"	6687	8445	9391	6144
"CORO7"	0	0	332	58
"CORO7-PAM16"	268	649	546	586
"CORT"	3173	2707	7430	3800
"COX14"	1372	2140	2046	1764
"COX15"	1729	1442	2143	1862
"COX19"	0	1	0	0
"COX4I1"	5501	4774	7916	6282
"COX4I2"	90	0	64	27
"COX5A"	9216	5507	16076	9510
"COX6A1"	0	0	0	90
"COX6B2"	641	4527	4253	2729
"COX6C"	5	0	0	0
"COX7A1"	178	385	271	392
"COX7A2L"	769	1568	2680	1211
"COX7B"	889	857	234	1201
"COX7B2"	64	0	42	132
"COX7C"	3788	4482	3734	3175
"COX8A"	55	194	642	408
"COX8C"	566	344	260	32
"CP"	3735	2253	4717	3419
"CPA1"	73	354	402	114
"CPA2"	41	131	0	0
"CPA3"	266	868	806	445
"CPA4"	501	713	165	546
"CPA5"	364	290	385	371
"CPAMD8"	19806	15711	28851	21957
"CPB2"	4428	2774	5596	6047
"CPD"	369	206	495	214
"CPEB1"	4135	3993	2752	3785
"CPEB2"	706	1169	1430	1325
"CPEB3"	3129	3450	10250	4074
"CPEB4"	0	74	0	0
"CPLX1"	7750	5298	6854	7133
"CPLX2"	2155	5748	5763	3359
"CPLX3"	2	553	924	258
"CPLX4"	2230	3065	1374	2318
"CPN1"	127	74	171	81
"CPN2"	7098	8391	5180	8380
"CPNE1"	738	333	206	468
"CPNE2"	502	97	345	242
"CPNE7"	1925	1976	3438	2150
"CPNE8"	275	54	158	488
"CPNE9"	996	1224	4114	1781
"CPO"	2299	2030	1820	3236
"CPOX"	0	0	1	0
"CPPED1"	145	283	536	161
"CPQ"	2019	2201	1328	2467
"CPS1"	856	553	1329	741
"CPSF1"	217	303	91	364
"CPSF4L"	0	0	104	0
"CPSF6"	9578	7096	9954	11261
"CPSF7"	119	81	71	87
"CPT1A"	83	70	234	0
"CPT1C"	407	581	943	620
"CPT2"	1563	1369	429	918
"CPTP"	2450	3388	5791	4367
"CPVL"	1441	878	1286	826
"CPXCR1"	587	963	438	721
"CPXM1"	161	126	158	378
"CPXM2"	132	1	62	68
"CPZ"	13818	13934	26863	19503
"CR1L"	6644	7402	11111	7829
"CR2"	70	141	55	145
"CRABP1"	49	155	77	0
"CRACR2B"	15199	8419	22829	13482
"CRADD"	12203	10343	18885	14327
"CRAMP1L"	1352	1234	1687	1826
"CRB2"	4595	5836	12659	6377
"CRB3"	9337	10158	14191	10508
"CRBN"	254	353	186	458
"CRCT1"	647	340	1308	1019
"CREB1"	14927	13678	20940	18737
"CREB3"	242	399	391	600
"CREB3L1"	296	193	101	234
"CREB3L2"	1494	703	1599	1717
"CREB3L3"	44	0	0	0
"CREB3L4"	4124	2716	3934	4954
"CREB5"	119	241	53	107
"CREBBP"	0	68	0	0
"CREBL2"	0	0	3	0
"CREG1"	0	107	389	69
"CRELD1"	1026	646	1119	631
"CRELD2"	1564	1364	3039	2286
"CRH"	2004	1420	2006	1895
"CRHBP"	972	797	1160	1008
"CRHR2"	4413	2935	3882	4624
"CRIM1"	2184	2819	1722	2437
"CRIP1"	522	783	730	297
"CRIP2"	1001	1554	2161	1719
"CRIPAK"	4641	4905	13854	7060
"CRISP1"	657	229	62	528
"CRISP2"	90	9	9	56
"CRISP3"	4002	5075	2737	3819
"CRISPLD1"	161	102	145	80
"CRISPLD2"	423	281	632	370
"CRK"	375	1958	1110	894
"CRLF3"	1016	1673	454	1103
"CRLS1"	199	4122	1922	2332
"CRMP1"	765	503	1902	1132
"CRNN"	5669	6162	5065	6661
"CROT"	3033	2510	4053	3531
"CRP"	1379	1300	1138	1227
"CRTAC1"	212	198	300	177
"CRTAP"	1086	905	2361	1610
"CRTC1"	2962	2094	5733	4077
"CRTC3"	3958	5844	5124	5718
"CRX"	4202	2407	5889	4726
"CRY2"	143	0	28	59
"CRYAB"	545	1260	1149	919
"CRYBA1"	2349	1852	1282	2532
"CRYBA4"	440	0	715	573
"CRYBB1"	3362	2080	4282	3610
"CRYBB3"	10533	8968	11280	11184
"CRYGB"	3028	1879	2798	3096
"CRYGD"	5408	3586	2522	3978
"CRYZ"	1073	1892	315	935
"CRYZL1"	906	1428	397	754
"CS"	351	300	262	202
"CSAG1"	0	0	9	0
"CSDC2"	1517	1229	2580	1418
"CSF1R"	226	356	450	240
"CSF2"	11538	8938	24716	13773
"CSF2RB"	1406	995	1844	2123
"CSF3"	3896	2430	5049	4022
"CSF3R"	0	115	89	53
"CSGALNACT1"	1290	2061	785	1846
"CSGALNACT2"	948	849	918	698
"CSH2"	33	110	100	190
"CSK"	191	532	64	186
"CSMD1"	3783	1409	3068	1834
"CSMD2"	5111	5802	5662	8242
"CSN1S1"	141	614	476	381
"CSN2"	1406	928	1604	1652
"CSN3"	837	672	523	663
"CSNK1A1L"	688	4680	741	2484
"CSNK1D"	1400	1103	1053	1554
"CSNK1E"	902	2999	2777	2242
"CSNK1G1"	50	0	16	30
"CSNK1G3"	6288	3077	1326	4000
"CSNK2A2"	274	439	325	375
"CSPG4"	0	207	138	0
"CSPG5"	151	658	167	461
"CSPP1"	329	558	188	406
"CSRNP1"	1840	2022	5270	3849
"CSRNP2"	0	2	0	0
"CSRNP3"	1413	2074	768	1737
"CSRP1"	1365	774	1916	1653
"CSRP2"	0	138	121	0
"CSRP2BP"	16006	8465	8825	14103
"CSRP3"	14311	15164	18152	19456
"CST2"	11	781	265	142
"CST3"	2447	2156	3972	2160
"CST5"	40	70	224	189
"CST6"	46	0	17	0
"CST8"	0	61	0	1
"CST9"	4154	4462	7350	5880
"CST9L"	3239	3931	4534	4427
"CSTB"	4123	831	10700	984
"CSTF3"	63	66	20	44
"CSTL1"	300	138	1015	93
"CT45A2"	653	286	133	189
"CT45A6"	5042	3384	4047	5931
"CT45A7"	5261	5772	1792	6864
"CT47A2"	795	4358	8024	4128
"CT47A3"	94	118	206	0
"CT47A4"	2669	4407	6180	4723
"CT47A5"	1713	1735	3845	2285
"CT47A6"	0	55	0	0
"CT47A7"	1229	619	1852	371
"CT47A8"	0	83	60	72
"CT47A9"	1078	1092	1863	1167
"CT47B1"	3111	2468	4758	3820
"CT55"	269	483	116	182
"CT83"	1188	2892	324	2072
"CTAG1A"	3162	4699	7895	3636
"CTAG2"	711	323	621	248
"CTAGE1"	259	271	32	119
"CTAGE4"	1047	1509	567	1299
"CTAGE5"	240	339	64	234
"CTAGE6"	3743	3694	1258	4619
"CTAGE8"	1353	3446	4551	1941
"CTAGE9"	230	46	88	255
"CTBP1"	35	0	0	0
"CTBP2"	0	47	43	0
"CTCFL"	403	514	252	244
"CTDP1"	31	0	134	27
"CTDSP1"	1984	2849	3133	3759
"CTDSP2"	348	547	403	647
"CTDSPL"	5	0	0	0
"CTF1"	5877	38282	39943	24669
"CTGF"	6700	4348	3850	5655
"CTH"	324	273	249	230
"CTHRC1"	0	0	98	0
"CTNNA2"	2810	2013	4035	2856
"CTNNAL1"	0	596	156	190
"CTNNBIP1"	1169	483	1365	858
"CTNND1"	1136	344	975	679
"CTNS"	0	0	133	0
"CTPS2"	42	0	204	138
"CTR9"	998	3361	2404	2548
"CTRB1"	8723	8174	16415	11124
"CTRC"	740	1226	436	770
"CTRL"	0	0	21	0
"CTSA"	1284	415	861	751
"CTSB"	25	74	12	0
"CTSD"	20610	19785	42685	29170
"CTSE"	812	85	660	347
"CTSF"	266	568	302	358
"CTSG"	38	227	142	40
"CTSH"	2693	2136	4155	2763
"CTSK"	620	1749	291	1357
"CTSL"	2643	2533	1745	2375
"CTSO"	989	1021	2401	2179
"CTSV"	176	109	519	341
"CTSZ"	1956	3623	2271	2510
"CTTNBP2"	24	0	0	0
"CTTNBP2NL"	1787	1143	1377	1066
"CTXN1"	366	153	443	357
"CUBN"	3350	2347	3661	3301
"CUEDC1"	5	4	13	2
"CUEDC2"	1224	1680	142	1975
"CUL3"	499	629	152	441
"CUL4A"	107	63	71	94
"CUL4B"	0	1	64	66
"CUL5"	197	3484	1652	1353
"CUL7"	66	0	0	61
"CUL9"	130	81	143	105
"CUTA"	150	543	185	166
"CUX1"	898	1601	1154	712
"CUX2"	2750	3989	4798	4925
"CUZD1"	105	315	31	57
"CWC22"	61	0	0	0
"CWC25"	49	64	30	104
"CX3CL1"	479	1091	706	524
"CXADR"	322	286	534	457
"CXCL10"	36	0	0	0
"CXCL11"	21	0	334	79
"CXCL12"	291	95	108	157
"CXCL14"	1310	1355	2806	2109
"CXCL17"	84	172	484	321
"CXCL2"	1126	1714	918	1650
"CXCL3"	108	47	163	191
"CXCL5"	0	0	87	0
"CXCL6"	2249	2994	1501	2134
"CXCL8"	1448	952	1151	1385
"CXCL9"	250	93	89	174
"CXCR1"	74	174	22	0
"CXCR3"	1927	894	2092	1811
"CXCR4"	1262	607	730	616
"CXCR6"	0	218	46	11
"CXorf21"	70	44	47	0
"CXorf23"	3752	1821	4608	4414
"CXorf38"	39	274	598	552
"CXorf40A"	104	89	213	0
"CXorf40B"	55	0	34	0
"CXorf58"	845	1169	528	1283
"CXorf65"	1549	2446	892	1569
"CXorf66"	7697	9359	17073	12014
"CXXC1"	2397	2013	4966	4938
"CXXC4"	192	1694	1629	918
"CXXC5"	7408	5858	10588	8196
"CYB561"	0	31	0	0
"CYB561A3"	2450	1140	3376	1884
"CYB561D1"	153	341	283	29
"CYB561D2"	4397	4089	6282	4563
"CYB5A"	4676	5790	8472	7818
"CYB5D1"	2472	23042	20239	12325
"CYB5D2"	2360	2759	4910	4358
"CYB5R1"	279	311	294	492
"CYB5R3"	3031	9649	8573	6391
"CYBA"	1603	265	893	818
"CYBRD1"	1624	12237	5536	5636
"CYFIP1"	9880	11517	17032	10509
"CYFIP2"	13	0	0	0
"CYGB"	1593	2687	3973	2851
"CYHR1"	522	810	1110	1509
"CYLC2"	1487	1971	379	2634
"CYLD"	169	72	197	89
"CYP11A1"	4232	4293	3983	6587
"CYP11B1"	1795	1019	2149	1745
"CYP11B2"	1304	680	1849	1262
"CYP17A1"	117	130	65	33
"CYP19A1"	0	306	165	80
"CYP1A1"	904	1481	1830	1355
"CYP1A2"	289	298	531	313
"CYP1B1"	1127	1622	2839	1468
"CYP21A2"	510	686	169	757
"CYP24A1"	806	595	553	1335
"CYP26A1"	167	268	603	102
"CYP27B1"	685	663	3294	1538
"CYP27C1"	2588	1836	3564	2290
"CYP2A13"	672	67	740	457
"CYP2A6"	0	0	11	0
"CYP2A7"	242	113	199	556
"CYP2B6"	3540	4113	897	2641
"CYP2C19"	5505	5224	6340	5021
"CYP2C9"	710	1493	1582	1528
"CYP2D6"	1216	2057	1820	2476
"CYP2F1"	5428	5069	9090	6134
"CYP2J2"	0	0	0	87
"CYP2R1"	2039	1583	2439	2313
"CYP2U1"	5770	6263	3290	6553
"CYP2W1"	2483	2997	3521	2839
"CYP39A1"	4254	4244	5240	6530
"CYP3A4"	825	193	1221	1016
"CYP3A43"	3403	3264	1573	3667
"CYP3A5"	33	0	0	0
"CYP3A7-CYP3A51P"	675	657	239	651
"CYP4A11"	121	368	487	351
"CYP4B1"	0	0	32	70
"CYP4F11"	204	3232	1842	1847
"CYP4F12"	1836	1700	2762	2260
"CYP4F2"	590	1715	422	905
"CYP4F3"	7957	9358	9435	9929
"CYP4V2"	3475	2189	2404	3394
"CYP4Z1"	0	189	0	0
"CYP7A1"	0	160	119	0
"CYP7B1"	1956	3895	258	2347
"CYP8B1"	614	847	1003	1298
"CYR61"	569	473	75	714
"CYS1"	351	206	277	325
"CYSLTR1"	3886	7190	2230	6617
"CYSLTR2"	8566	10783	4965	10502
"CYSRT1"	5364	4569	7423	5822
"CYSTM1"	96	230	3	148
"CYTH1"	3602	3549	1330	5060
"CYTH2"	0	50	86	96
"CYTH3"	3633	1445	5403	3760
"CYTH4"	8352	7349	8129	9485
"CYTIP"	0	0	30	0
"CYTL1"	409	572	710	441
"CYYR1"	33	374	31	81
"D2HGDH"	4486	4728	8629	8172
"DAAM1"	2280	1287	2342	1213
"DAAM2"	504	1061	1267	955
"DAB1"	4737	6268	3478	6944
"DAB2"	303	263	536	611
"DAB2IP"	20	210	122	164
"DACH1"	553	283	451	184
"DACH2"	209	850	330	947
"DACT1"	870	846	1062	1126
"DACT2"	50	139	32	73
"DACT3"	550	477	373	477
"DAG1"	1441	2974	3993	2670
"DAGLA"	3249	5366	4115	5252
"DAGLB"	380	2069	2782	2113
"DALRD3"	46	0	0	0
"DAO"	2769	2177	6640	3301
"DAOA"	553	1053	680	439
"DAP"	14096	10667	10205	13150
"DAPK1"	1094	1813	1523	1560
"DAPK3"	160	3788	1940	1768
"DAPL1"	0	252	82	0
"DAPP1"	7156	7641	11611	9468
"DARS"	0	0	5	0
"DAZ1"	1659	723	2575	1862
"DAZ4"	2497	4648	1845	3417
"DAZAP2"	3394	2645	5096	4058
"DBF4"	17	0	0	0
"DBF4B"	0	67	16	70
"DBH"	352	551	400	557
"DBI"	1144	1965	2318	1645
"DBN1"	3123	1822	1168	902
"DBNL"	244	181	534	391
"DBP"	1389	1921	2402	2586
"DBT"	1001	434	440	1432
"DBX1"	1451	4619	7183	4010
"DBX2"	4279	3145	3740	2705
"DCAF10"	1834	792	1696	1005
"DCAF11"	2272	1812	3988	2991
"DCAF12L1"	16931	7624	12210	12968
"DCAF12L2"	339	642	750	751
"DCAF16"	2006	2164	1188	2698
"DCAF17"	1434	4316	1097	2714
"DCAF4L1"	2491	3483	4109	3998
"DCAF4L2"	1875	2018	1903	1739
"DCAF5"	2547	4186	2960	3538
"DCAF6"	1048	1303	775	1560
"DCAF8"	7605	10727	18830	12139
"DCAF8L1"	988	1327	892	1883
"DCAF8L2"	104	368	305	191
"DCANP1"	24854	27181	14156	29237
"DCBLD1"	3614	3376	1242	4348
"DCBLD2"	919	725	664	578
"DCC"	139	359	50	0
"DCD"	100	470	61	188
"DCDC2"	0	165	63	0
"DCDC2C"	3319	2536	2609	3015
"DCDC5"	1789	1093	1000	2083
"DCHS2"	860	2384	1300	1875
"DCK"	286	275	142	140
"DCLK1"	5454	4819	985	5168
"DCLK2"	101	0	67	39
"DCLK3"	46	54	101	213
"DCLRE1A"	445	440	645	691
"DCLRE1C"	10593	7347	9374	9767
"DCP1A"	3747	8311	5617	8159
"DCP1B"	103	362	248	309
"DCST2"	4994	2658	5611	4257
"DCSTAMP"	3805	3528	5645	6195
"DCT"	2199	3849	5376	3127
"DCTD"	7040	6783	8369	9179
"DCTN1"	2621	1454	1644	2247
"DCTN2"	396	464	913	373
"DCTN5"	36	139	32	1
"DCTPP1"	2605	2792	3687	3055
"DCUN1D1"	69	135	42	169
"DCUN1D2"	37	117	15	90
"DCUN1D3"	59	979	799	666
"DCUN1D5"	16	0	0	61
"DCXR"	215	137	385	376
"DDA1"	394	141	6	356
"DDAH2"	35	119	199	150
"DDB2"	165	458	80	578
"DDC"	101	139	250	63
"DDHD1"	90	319	194	0
"DDHD2"	1554	1511	2189	2271
"DDI1"	1800	2079	1402	2032
"DDI2"	404	1040	684	493
"DDIT3"	5829	8108	6288	8338
"DDIT4L"	787	353	437	808
"DDN"	941	1356	1718	1376
"DDO"	537	274	422	532
"DDOST"	225	197	218	490
"DDR1"	918	1215	1477	1318
"DDR2"	673	915	1843	820
"DDRGK1"	242	242	620	445
"DDT"	0	26	0	0
"DDX19A"	1799	2305	482	1261
"DDX19B"	0	185	35	71
"DDX20"	0	206	123	54
"DDX23"	185	127	178	273
"DDX25"	0	49	0	0
"DDX27"	59	357	261	246
"DDX28"	524	375	304	667
"DDX31"	1745	1288	1767	1341
"DDX3X"	62	205	38	0
"DDX3Y"	2188	1122	1226	1580
"DDX41"	88	0	137	84
"DDX43"	2377	1417	3480	1909
"DDX46"	0	0	118	0
"DDX51"	84	128	48	84
"DDX52"	510	737	182	395
"DDX53"	2949	1450	1565	2622
"DDX54"	6	0	0	0
"DDX55"	2415	1049	1698	1638
"DDX56"	1	179	5	144
"DDX58"	3091	7110	3998	4973
"DDX60L"	200	44	27	115
"DEAF1"	884	778	1326	601
