transE_high_s47	transE_low_s45	transE_medium_s46	transE_pre_s48
48.42957400629473	67.3869824995201	41.57502716468874	64.35762471713832
61.75428696318968	60.03750582253061	57.40053082126663	62.71324487855064
0	0	0	0
2.138534178267091	0	4.393032787611923	2.0129477334435335
0	0	0	0
0	0	0	0
0	4.26202528756925	8.415568834099949	5.159950527982015
4.80347676964608	2.6511810843934702	0.476352952873582	0
0	0	0	0
0	0	0	0
0	0	0	0
25.662410139205086	22.11554853943414	3.5197190406770225	12.701416684263421
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2.9281467979349394	1.141014643916177	0.26464052937421223	0.3118651418011108
0.0987015774584811	0.2684740338626299	0.42342484699873956	0.17010825916424224
91.52926282983148	29.934854775683235	82.35613274125484	71.92744224994709
9.639854065111654	9.56438745635619	15.005118015517834	21.603748913858766
0	0	0	0
0	0	0	0
55.207082325110434	44.33177484156676	78.83641370057782	46.94987952933086
0	0	0	0
0	0	0	0
1.0857173520432921	0	0	0
11.383581933544821	7.013884134661207	15.719647444828206	8.647169840848981
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
20.26672390480812	32.21688406351559	32.97420996002684	27.44413247849775
0	0	0	0
26.74812749124838	35.20365769023735	10.056340116220065	39.550170255686325
25.662410139205086	10.40336881217691	1.29673859393364	6.265654212549589
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
99.45828955232946	30.63959911457264	87.01380605824097	52.0814786807855
0	0.9396591185192047	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
307.02770694751524	302.3017621293213	225.2090904974546	295.6765058039804
46.25813930220814	68.25952310957365	32.550785113028105	49.132935521938634
0	0	0	0
52.34473657881448	65.87681605904281	65.28681859661816	68.29846605444327
0	0	0	0
0	0	0	0
29.511771660085852	19.531485963506327	10.109268222094906	26.253374664348055
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
56.194098099695246	24.22978155610235	16.354784715326314	51.79796491551176
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
14.805236618772167	5.101006643389969	11.67064734540276	5.698626682002115
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
103.9327610637806	109.00045774822775	73.09371421315741	112.49826206061887
0	0	0	0
0	0	0	0
5.987895699147853	5.168125151855626	7.277614557790836	4.082598219941814
17.108273426136726	11.6786204730244	3.0433660878034408	15.706662596165035
0.6580105163898741	4.295584541802079	0	2.041299109970907
157.6593197270138	178.30031773901908	267.1281503503298	140.42436794008196
0.2632042065559496	14.531157082814843	2.1965163938059615	2.6650293935731284
2.500439962281521	1.5772849489429508	4.049000099425447	1.6727312151150489
0	6.040665761909173	0.6086732175606882	2.239758745662523
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
5.625989915133423	8.658287592069815	6.563085128480463	3.118651418011108
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	3.4230439317485315	1.2173464351213763	0.3685678948558582
0	0	0	0
0	0	0	0
0	0	0	0
89.95003759049578	181.28709136574085	117.52685909508764	192.73265763308646
22.30655650561673	17.652167726467916	40.93988989419063	23.219777375919065
0	0	0	0
0	5.436599185718256	0	0
0	1.8457589828055807	0.21171242349936978	3.657327572031208
0	0	0	0
0	0	0	0
456.5934973229336	376.6019510008041	84.52618508212339	427.17019013793964
0	0	0	0
0	0	0	0
5.428586760216461	0	3.784359570051235	1.9562449803887858
9.60695353929216	7.752187727783439	19.90096780894076	20.78155899456493
44.876317217789406	50.27176284077745	67.2186944610499	29.853999483324515
9.113445651999756	2.7518588470919565	2.5140850290550163	2.126353239553028
0	0	0	0
0	0	0	0
53.2659513017603	21.444363454777566	44.38021677605539	45.36220244379793
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
11.844189295017733	25.639270233881156	16.354784715326314	9.185845994869082
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1.1186178778627858	1.812199728572752	8.256784516475422	5.556869799365247
10.297864581501528	17.719286234933573	6.774797551979833	19.50574705083311
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0.30203328809545865	0	0
0	0	0	0
0	0	0	0
577.4042281321144	342.4721894460173	516.7900257619616	380.16360785555406
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1.546324713516204	9.597946710589019	0.26464052937421223	4.0542468434144405
0	0	0	0
24.247687528966857	25.739947996579644	19.662791332503968	36.94184361516794
6.020796224967348	0	0	2.041299109970907
33.88754159407851	12.24912779498249	46.259164534612296	22.199127820933615
7.073613051191146	4.228466033336421	0.8203856410600578	4.3377606086881775
62.510999057038035	141.38513808290747	30.010236031035667	107.53677116832847
88.86432023845249	49.80193328151785	86.80209363474161	102.37682064034647
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
114.55963090347707	208.6714428197291	107.57637519061727	180.37145746715154
0	0	0	0
0	11.4437056933946	1.6143072291826945	8.675521217376355
0	0	0.18524837056194857	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
13.653718215089887	8.557609829371328	25.53781108461148	11.964280894551704
0	0	0	0
34.4797510588294	41.51279748600915	139.01567008027368	39.91873815054218
87.94310551550666	110.54418344293786	43.69215139968244	104.10625460851625
0	0	0	0
84.19244557208438	133.86786513475383	44.697785411304444	97.9256545255488
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1.9082304975306348	0	5.875019752107511	15.564905713528166
0	0	0	0
0	0	0	0
16.910870271219764	4.966769626458653	9.130098263410321	6.662573483932821
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
7.665822515942033	22.484700335995257	0.7674575351852154	8.845629476540598
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2.6978431171984836	8.691846846302644	0.5822091646232669	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2.40173838482304	12.853194371173407	3.1227582466157044	11.057036845675746
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
25.49790751010762	5.8393102365122	8.494960992912212	20.04442320485321
0	0	0	0
0	0	0	0
227.60583761925744	117.39027130643493	170.40203686405525	228.88066270548794
0	0	0	0
0	0	0	0
44.77761564033093	40.97584941828389	34.77376555977148	31.555082074966936
0	0	0	0
0	0	0	0
0	0	0	0
0	1.6444034574086082	5.18695437573456	1.474271579423433
0	0	0.13232026468710611	0
8.751539867985326	3.1210106436530727	5.795627593295248	10.54671206818302
7.369717783566589	25.102322166155897	18.154340315070957	37.62227665182491
0	0	0.6351372704981093	0
0	0	0	0
6.0865972766063345	113.69875334082377	25.246706502299848	27.30237559586088
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1.9082304975306348	0.03355925423282874	0.37049674112389713	2.920191782319492
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1.875329971711141	0	0	0
0	12.987431388104723	5.769163540357827	3.7423817016133296
19.181006552764828	25.236559183087213	16.222464450639208	17.436096564334832
7.040712525371652	5.000328880691482	3.0433660878034408	16.13193324407564
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3.0268483753934206	23.45791870874729	31.095262201469936	15.763365349219782
